"TIME","GEO","UNIT","AIRPOL","SRC_CRF","Value"
"2008","Belgium","Thousand tonnes","Methane","Agriculture","233.75"
"2009","Belgium","Thousand tonnes","Methane","Agriculture","235.03"
"2010","Belgium","Thousand tonnes","Methane","Agriculture","236.13"
"2011","Belgium","Thousand tonnes","Methane","Agriculture","233.46"
"2012","Belgium","Thousand tonnes","Methane","Agriculture","230.78"
"2013","Belgium","Thousand tonnes","Methane","Agriculture","229.61"
"2014","Belgium","Thousand tonnes","Methane","Agriculture","232.73"
"2015","Belgium","Thousand tonnes","Methane","Agriculture","233.76"
"2016","Belgium","Thousand tonnes","Methane","Agriculture","235.05"
"2017","Belgium","Thousand tonnes","Methane","Agriculture","233.53"
"2008","Bulgaria","Thousand tonnes","Methane","Agriculture","76.83"
"2009","Bulgaria","Thousand tonnes","Methane","Agriculture","72.89"
"2010","Bulgaria","Thousand tonnes","Methane","Agriculture","73.21"
"2011","Bulgaria","Thousand tonnes","Methane","Agriculture","72.71"
"2012","Bulgaria","Thousand tonnes","Methane","Agriculture","70.07"
"2013","Bulgaria","Thousand tonnes","Methane","Agriculture","71.68"
"2014","Bulgaria","Thousand tonnes","Methane","Agriculture","72.56"
"2015","Bulgaria","Thousand tonnes","Methane","Agriculture","71.53"
"2016","Bulgaria","Thousand tonnes","Methane","Agriculture","71.01"
"2017","Bulgaria","Thousand tonnes","Methane","Agriculture","70.16"
"2008","Czechia","Thousand tonnes","Methane","Agriculture","147.65"
"2009","Czechia","Thousand tonnes","Methane","Agriculture","141.3"
"2010","Czechia","Thousand tonnes","Methane","Agriculture","136.53"
"2011","Czechia","Thousand tonnes","Methane","Agriculture","135.76"
"2012","Czechia","Thousand tonnes","Methane","Agriculture","135.97"
"2013","Czechia","Thousand tonnes","Methane","Agriculture","136.5"
"2014","Czechia","Thousand tonnes","Methane","Agriculture","138.94"
"2015","Czechia","Thousand tonnes","Methane","Agriculture","142.22"
"2016","Czechia","Thousand tonnes","Methane","Agriculture","145.18"
"2017","Czechia","Thousand tonnes","Methane","Agriculture","146.92"
"2008","Denmark","Thousand tonnes","Methane","Agriculture","223.62"
"2009","Denmark","Thousand tonnes","Methane","Agriculture","222.4"
"2010","Denmark","Thousand tonnes","Methane","Agriculture","225.53"
"2011","Denmark","Thousand tonnes","Methane","Agriculture","223.26"
"2012","Denmark","Thousand tonnes","Methane","Agriculture","223.65"
"2013","Denmark","Thousand tonnes","Methane","Agriculture","222.37"
"2014","Denmark","Thousand tonnes","Methane","Agriculture","223.36"
"2015","Denmark","Thousand tonnes","Methane","Agriculture","221.55"
"2016","Denmark","Thousand tonnes","Methane","Agriculture","222.58"
"2017","Denmark","Thousand tonnes","Methane","Agriculture","221.84"
"2008","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Methane","Agriculture","1,324.44"
"2009","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Methane","Agriculture","1,328.62"
"2010","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Methane","Agriculture","1,321.11"
"2011","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Methane","Agriculture","1,311.71"
"2012","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Methane","Agriculture","1,317.83"
"2013","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Methane","Agriculture","1,341.44"
"2014","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Methane","Agriculture","1,353.08"
"2015","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Methane","Agriculture","1,349.77"
"2016","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Methane","Agriculture","1,336.83"
"2017","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Methane","Agriculture","1,327.37"
"2008","Estonia","Thousand tonnes","Methane","Agriculture","23.07"
"2009","Estonia","Thousand tonnes","Methane","Agriculture","22.91"
"2010","Estonia","Thousand tonnes","Methane","Agriculture","23.48"
"2011","Estonia","Thousand tonnes","Methane","Agriculture","23.6"
"2012","Estonia","Thousand tonnes","Methane","Agriculture","24.42"
"2013","Estonia","Thousand tonnes","Methane","Agriculture","25.59"
"2014","Estonia","Thousand tonnes","Methane","Agriculture","25.81"
"2015","Estonia","Thousand tonnes","Methane","Agriculture","24.78"
"2016","Estonia","Thousand tonnes","Methane","Agriculture","24.21"
"2017","Estonia","Thousand tonnes","Methane","Agriculture","24.64"
"2008","Ireland","Thousand tonnes","Methane","Agriculture","473.01"
"2009","Ireland","Thousand tonnes","Methane","Agriculture","465.59"
"2010","Ireland","Thousand tonnes","Methane","Agriculture","456.56"
"2011","Ireland","Thousand tonnes","Methane","Agriculture","451.89"
"2012","Ireland","Thousand tonnes","Methane","Agriculture","467.26"
"2013","Ireland","Thousand tonnes","Methane","Agriculture","474.01"
"2014","Ireland","Thousand tonnes","Methane","Agriculture","479.42"
"2015","Ireland","Thousand tonnes","Methane","Agriculture","489.36"
"2016","Ireland","Thousand tonnes","Methane","Agriculture","504.38"
"2017","Ireland","Thousand tonnes","Methane","Agriculture","518.68"
"2008","Greece","Thousand tonnes","Methane","Agriculture","196.27"
"2009","Greece","Thousand tonnes","Methane","Agriculture","195.3"
"2010","Greece","Thousand tonnes","Methane","Agriculture","198.83"
"2011","Greece","Thousand tonnes","Methane","Agriculture","197.98"
"2012","Greece","Thousand tonnes","Methane","Agriculture","195.45"
"2013","Greece","Thousand tonnes","Methane","Agriculture","192.11"
"2014","Greece","Thousand tonnes","Methane","Agriculture","184.89"
"2015","Greece","Thousand tonnes","Methane","Agriculture","181.79"
"2016","Greece","Thousand tonnes","Methane","Agriculture","178.48"
"2017","Greece","Thousand tonnes","Methane","Agriculture","177.93"
"2008","Spain","Thousand tonnes","Methane","Agriculture","993.12"
"2009","Spain","Thousand tonnes","Methane","Agriculture","1,000.12"
"2010","Spain","Thousand tonnes","Methane","Agriculture","965.03"
"2011","Spain","Thousand tonnes","Methane","Agriculture","958.28"
"2012","Spain","Thousand tonnes","Methane","Agriculture","922.75"
"2013","Spain","Thousand tonnes","Methane","Agriculture","894.97"
"2014","Spain","Thousand tonnes","Methane","Agriculture","926.1"
"2015","Spain","Thousand tonnes","Methane","Agriculture","953.65"
"2016","Spain","Thousand tonnes","Methane","Agriculture","968.04"
"2017","Spain","Thousand tonnes","Methane","Agriculture","987.74"
"2008","France","Thousand tonnes","Methane","Agriculture","1,606.21"
"2009","France","Thousand tonnes","Methane","Agriculture","1,593.01"
"2010","France","Thousand tonnes","Methane","Agriculture","1,575.09"
"2011","France","Thousand tonnes","Methane","Agriculture","1,562.8"
"2012","France","Thousand tonnes","Methane","Agriculture","1,535.09"
"2013","France","Thousand tonnes","Methane","Agriculture","1,533.49"
"2014","France","Thousand tonnes","Methane","Agriculture","1,565.41"
"2015","France","Thousand tonnes","Methane","Agriculture","1,566.62"
"2016","France","Thousand tonnes","Methane","Agriculture","1,557.09"
"2017","France","Thousand tonnes","Methane","Agriculture","1,541.76"
"2008","Croatia","Thousand tonnes","Methane","Agriculture","65.5"
"2009","Croatia","Thousand tonnes","Methane","Agriculture","67.02"
"2010","Croatia","Thousand tonnes","Methane","Agriculture","67.22"
"2011","Croatia","Thousand tonnes","Methane","Agriculture","66.87"
"2012","Croatia","Thousand tonnes","Methane","Agriculture","65.62"
"2013","Croatia","Thousand tonnes","Methane","Agriculture","63.43"
"2014","Croatia","Thousand tonnes","Methane","Agriculture","62.43"
"2015","Croatia","Thousand tonnes","Methane","Agriculture","65.48"
"2016","Croatia","Thousand tonnes","Methane","Agriculture","64.85"
"2017","Croatia","Thousand tonnes","Methane","Agriculture","61.22"
"2008","Italy","Thousand tonnes","Methane","Agriculture","772.21"
"2009","Italy","Thousand tonnes","Methane","Agriculture","782.07"
"2010","Italy","Thousand tonnes","Methane","Agriculture","765.76"
"2011","Italy","Thousand tonnes","Methane","Agriculture","767.9"
"2012","Italy","Thousand tonnes","Methane","Agriculture","764"
"2013","Italy","Thousand tonnes","Methane","Agriculture","767.27"
"2014","Italy","Thousand tonnes","Methane","Agriculture","760.57"
"2015","Italy","Thousand tonnes","Methane","Agriculture","767.13"
"2016","Italy","Thousand tonnes","Methane","Agriculture","782.67"
"2017","Italy","Thousand tonnes","Methane","Agriculture","787.65"
"2008","Cyprus","Thousand tonnes","Methane","Agriculture","12.5"
"2009","Cyprus","Thousand tonnes","Methane","Agriculture","12.36"
"2010","Cyprus","Thousand tonnes","Methane","Agriculture","12.67"
"2011","Cyprus","Thousand tonnes","Methane","Agriculture","12.77"
"2012","Cyprus","Thousand tonnes","Methane","Agriculture","11.99"
"2013","Cyprus","Thousand tonnes","Methane","Agriculture","11.35"
"2014","Cyprus","Thousand tonnes","Methane","Agriculture","10.97"
"2015","Cyprus","Thousand tonnes","Methane","Agriculture","11.11"
"2016","Cyprus","Thousand tonnes","Methane","Agriculture","11.89"
"2017","Cyprus","Thousand tonnes","Methane","Agriculture","12.26"
"2008","Latvia","Thousand tonnes","Methane","Agriculture","34.75"
"2009","Latvia","Thousand tonnes","Methane","Agriculture","34.66"
"2010","Latvia","Thousand tonnes","Methane","Agriculture","34.42"
"2011","Latvia","Thousand tonnes","Methane","Agriculture","34.81"
"2012","Latvia","Thousand tonnes","Methane","Agriculture","35.59"
"2013","Latvia","Thousand tonnes","Methane","Agriculture","36.95"
"2014","Latvia","Thousand tonnes","Methane","Agriculture","38.33"
"2015","Latvia","Thousand tonnes","Methane","Agriculture","38.37"
"2016","Latvia","Thousand tonnes","Methane","Agriculture","38.46"
"2017","Latvia","Thousand tonnes","Methane","Agriculture","38.76"
"2008","Lithuania","Thousand tonnes","Methane","Agriculture","79.71"
"2009","Lithuania","Thousand tonnes","Methane","Agriculture","78.21"
