"TIME","GEO","UNIT","AIRPOL","SRC_CRF","Value"
"2008","Belgium","Thousand tonnes","Carbon dioxide","Energy","99,770.52"
"2009","Belgium","Thousand tonnes","Carbon dioxide","Energy","93,072.49"
"2010","Belgium","Thousand tonnes","Carbon dioxide","Energy","96,868.69"
"2011","Belgium","Thousand tonnes","Carbon dioxide","Energy","87,451.85"
"2012","Belgium","Thousand tonnes","Carbon dioxide","Energy","86,453.62"
"2013","Belgium","Thousand tonnes","Carbon dioxide","Energy","85,989.56"
"2014","Belgium","Thousand tonnes","Carbon dioxide","Energy","80,305.65"
"2015","Belgium","Thousand tonnes","Carbon dioxide","Energy","83,906.29"
"2016","Belgium","Thousand tonnes","Carbon dioxide","Energy","82,328.09"
"2017","Belgium","Thousand tonnes","Carbon dioxide","Energy","81,571.8"
"2008","Bulgaria","Thousand tonnes","Carbon dioxide","Energy","47,991.02"
"2009","Bulgaria","Thousand tonnes","Carbon dioxide","Energy","42,423.39"
"2010","Bulgaria","Thousand tonnes","Carbon dioxide","Energy","44,285.59"
"2011","Bulgaria","Thousand tonnes","Carbon dioxide","Energy","49,083.6"
"2012","Bulgaria","Thousand tonnes","Carbon dioxide","Energy","44,426.83"
"2013","Bulgaria","Thousand tonnes","Carbon dioxide","Energy","38,856.95"
"2014","Bulgaria","Thousand tonnes","Carbon dioxide","Energy","41,192.68"
"2015","Bulgaria","Thousand tonnes","Carbon dioxide","Energy","43,664.66"
"2016","Bulgaria","Thousand tonnes","Carbon dioxide","Energy","40,692.48"
"2017","Bulgaria","Thousand tonnes","Carbon dioxide","Energy","42,881.94"
"2008","Czechia","Thousand tonnes","Carbon dioxide","Energy","109,199.79"
"2009","Czechia","Thousand tonnes","Carbon dioxide","Energy","103,949"
"2010","Czechia","Thousand tonnes","Carbon dioxide","Energy","105,334.39"
"2011","Czechia","Thousand tonnes","Carbon dioxide","Energy","102,907.44"
"2012","Czechia","Thousand tonnes","Carbon dioxide","Energy","99,104.61"
"2013","Czechia","Thousand tonnes","Carbon dioxide","Energy","94,665"
"2014","Czechia","Thousand tonnes","Carbon dioxide","Energy","91,740.02"
"2015","Czechia","Thousand tonnes","Carbon dioxide","Energy","92,941.13"
"2016","Czechia","Thousand tonnes","Carbon dioxide","Energy","94,614.95"
"2017","Czechia","Thousand tonnes","Carbon dioxide","Energy","93,746.13"
"2008","Denmark","Thousand tonnes","Carbon dioxide","Energy","49,457.83"
"2009","Denmark","Thousand tonnes","Carbon dioxide","Energy","47,567.64"
"2010","Denmark","Thousand tonnes","Carbon dioxide","Energy","47,986.81"
"2011","Denmark","Thousand tonnes","Carbon dioxide","Energy","42,839.15"
"2012","Denmark","Thousand tonnes","Carbon dioxide","Energy","38,445.95"
"2013","Denmark","Thousand tonnes","Carbon dioxide","Energy","40,282.1"
"2014","Denmark","Thousand tonnes","Carbon dioxide","Energy","36,074.29"
"2015","Denmark","Thousand tonnes","Carbon dioxide","Energy","33,789.9"
"2016","Denmark","Thousand tonnes","Carbon dioxide","Energy","35,389.47"
"2017","Denmark","Thousand tonnes","Carbon dioxide","Energy","33,053.85"
"2008","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Carbon dioxide","Energy","802,164"
"2009","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Carbon dioxide","Energy","745,436.35"
"2010","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Carbon dioxide","Energy","783,808.36"
"2011","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Carbon dioxide","Energy","760,722.95"
"2012","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Carbon dioxide","Energy","765,922.94"
"2013","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Carbon dioxide","Energy","783,512.3"
"2014","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Carbon dioxide","Energy","744,546.02"
"2015","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Carbon dioxide","Energy","749,096.5"
"2016","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Carbon dioxide","Energy","753,218.17"
"2017","Germany (until 1990 former territory of the FRG)","Thousand tonnes","Carbon dioxide","Energy","747,914.19"
"2008","Estonia","Thousand tonnes","Carbon dioxide","Energy","17,056.72"
"2009","Estonia","Thousand tonnes","Carbon dioxide","Energy","14,295.24"
"2010","Estonia","Thousand tonnes","Carbon dioxide","Energy","18,650.25"
"2011","Estonia","Thousand tonnes","Carbon dioxide","Energy","18,622.47"
"2012","Estonia","Thousand tonnes","Carbon dioxide","Energy","17,222.76"
"2013","Estonia","Thousand tonnes","Carbon dioxide","Energy","18,907.9"
"2014","Estonia","Thousand tonnes","Carbon dioxide","Energy","18,409.79"
