location,indicator,subject,measure,frequency,time,value,flag_codes
USA,MEATCONSUMP,BEEF,KG_CAP,A,1990,30.6228919348843,
USA,MEATCONSUMP,BEEF,KG_CAP,A,1991,30.4078398157954,
USA,MEATCONSUMP,BEEF,KG_CAP,A,1992,30.3047688906046,
USA,MEATCONSUMP,BEEF,KG_CAP,A,1993,29.6626509040948,
USA,MEATCONSUMP,BEEF,KG_CAP,A,1994,30.7129812003058,
USA,MEATCONSUMP,BEEF,KG_CAP,A,1995,30.8980236085174,
USA,MEATCONSUMP,BEEF,KG_CAP,A,1996,30.9958709921867,
USA,MEATCONSUMP,BEEF,KG_CAP,A,1997,30.2692659281057,
USA,MEATCONSUMP,BEEF,KG_CAP,A,1998,30.616866456924,
USA,MEATCONSUMP,BEEF,KG_CAP,A,1999,30.9374627385096,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2000,31.0366260380512,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2001,30.3520238490383,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2002,31.0133573356294,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2003,29.7807308339352,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2004,30.3112838849193,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2005,30.0354694478112,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2006,30.1640365809426,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2007,29.904037926771,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2008,28.7207231974398,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2009,28.0578349940178,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2010,27.2893543511092,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2011,26.3068138591098,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2012,26.1416765436008,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2013,25.6654797145985,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2014,24.7007722797545,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2015,24.6724113258516,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2016,25.3735756177622,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2017,25.9886969258198,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2018,26.0908679404035,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2019,26.7293486139702,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2020,27.2097273413537,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2021,27.1937466387192,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2022,26.9780394496297,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2023,27.0707529401,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2024,27.1363019773701,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2025,27.0895372329004,
USA,MEATCONSUMP,BEEF,KG_CAP,A,2026,27.1023656237605,
